匚	a
巴	bz
陂	bza
陛	bze
孢	bzu
阪	bzuu
酬	cyou
醇	cyoea
裁	cyoe
聪	cyo
出	c
常	c
阐	ca
闯	caa
阊	cai
层	cb
楚	cba
椽	cbaa
弛	cbai
孱	cbaia
郴	cbaii
橙	cbao
柽	cbaoe
杈	cbaoo
弨	cbau
村	cbe
椿	cbee
梼	cbeee
楱	cbeeee
材	cbei
槽	cbeii
楂	cbeiia
楮	cbeiia
樗	cbeo
橱	cbeu
查	cbi
梣	cbia
尺	cbo
迟	cboa
榇	cboe
榱	cboei
檫	cboo
羼	cbou
槎	cboue
椎	cbu
栅	cbua
椆	cbuae
柢	cbuao
杵	cbue
棰	cbuee
枨	cbueo
槌	cbui
梴	cbuia
枞	cbuo
棽	cbuoo
纯	cc
肠	cca
巛	ccaa
骣	ccae
驰	ccai
绌	ccaii
骖	ccao
腠	cce
肫	ccea
	ccee
綝	ccei
巢	cci
骋	ccia
绰	ccie
剿	ccii
缠	cco
缞	ccoe
膪	ccoei
塍	ccou
脆	ccu
绸	ccua
朐	ccuai
胣	ccue
骢	ccui
脞	ccuo
肜	ccuu
初	cd
词	cda
祠	cdae
衩	cdao
诚	cde
衬	cdei
褚	cdeii
谌	cdeiu
昶	cdi
裎	cdia
禅	cdo
诧	cdoo
谄	cdu
谗	cdua
襜	cduao
谶	cduo
褫	cduu
财	ce
畅	cea
黜	ceai
眙	ceao
蛏	ceaoe
黪	ceaoeu
助	ceau
畴	cee
帱	ceee
蝽	ceeei
螬	ceei
畤	ceeie
嵖	ceeii
瞋	ceeiia
串	cei
赐	ceia
圌	ceiae
瞠	ceio
虫	ceo
辿	ceoa
遄	ceoao
幢	ceoe
螭	ceoei
崇	ceoo
蝉	ceou
嵯	ceoue
嶒	ceoui
崔	ceu
蟾	ceua
巉	ceuau
眵	ceuaua
瞅	ceue
睬	ceuo
蜍	ceuoe
岑	ceuoo
产	cf
瘳	cfa
床	cfe
瓷	cfea
凑	cfee
瘛	cfeeo
庱	cfei
颤	cfeu
冲	cfi
畜	cfia
啻	cfiae
衰	cfiau
廛	cfiauo
疵	cfie
瘁	cfo
麤	cfoe
疢	cfou
